Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-08-03,NAN,PS1,B0BJBL1XBS,nan,1,0.0,Cancel,FARIDABAD,Cancel,0.0,0.0,0,False,
2025-08-03,PNQ2-393,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,833.23,Shipment,FARIDABAD,Shipment,833.23,0.0,1,False,
2025-08-02,PNQ2-389,GP1620_TLS,B08S7D4LKH,yantralay Upgraded Helmet Chin Strap Mount for Hero 13 12 11 10 9 8 7 6 5  SJCAM  Insta 360   DJI Osmo Action 3   4   Adjustable   Secure Camera Moun,1,1106.77,Shipment,MOHALI,Shipment,1106.77,0.0,1,False,
2025-08-02,PNQ2-392,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,833.23,Shipment,CHANDIGARH,Shipment,833.23,0.0,1,False,
2025-08-02,PNQ2-390,DA24,B078DMT8KR,Yantralay Nylon Universal Drone and Quadcopter Landing Pad   Portable   Foldable   Compatible with DJI  Parrot  Syma  Hubsan  Holy Stone  UDI Drones,1,1502.53,Shipment,Akhnoor,Shipment,1502.53,0.0,1,False,
2025-08-03,PNQ2-394,ACCASEYTG9,B08NF6HMG6,yantralay YT G9 Vlogging Case with Dual Cold Shoe Mount for Hero 12 11 10 9  Removable 52mm Filter Ring  All in One Kit with Case Door  Lens Protector,1,1091.68,Shipment,AHMEDABAD,Shipment,1091.68,0.0,1,False,
2025-08-03,PNQ2-395,GP29L,B08RXBFBG9,yantralay Windshield Car Suction Cup Mount for Hero 10 9 8  SJCAM  Osmo Action 3   4  Insta 360   Flexible  Multi Angle Adjustable   Mount for Smartph,1,610.13,Shipment,delhi,Shipment,610.13,0.0,1,False,
2025-08-04,PNQ2-396,PS2_BLUE,B0BL1H24P4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,464.07,Shipment,NEW DELHI,Shipment,464.07,0.0,1,False,
2025-08-04,PNQ2-396,PS2_RED,B0BL1HF4NJ,yantralay Nylon Controller Gamepad Carry Case   Ultimate Protection Compatible For PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protectio,1,464.07,Shipment,NEW DELHI,Shipment,464.07,0.0,1,False,
2025-08-04,PNQ2-397,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,833.23,Shipment,NEW DELHI,Shipment,833.23,0.0,1,False,
2025-08-04,PNQ2-400,PS2_BLUE,B0BL1H24P4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,484.03,Shipment,GHAZIABAD,Shipment,484.03,0.0,1,False,
2025-08-04,PNQ2-398,GP29L,B08RXBFBG9,yantralay Windshield Car Suction Cup Mount for Hero 10 9 8  SJCAM  Osmo Action 3   4  Insta 360   Flexible  Multi Angle Adjustable   Mount for Smartph,1,610.13,Shipment,GURUGRAM,Shipment,610.13,0.0,1,False,
2025-08-03,PNQ2-395,GP29L,B08RXBFBG9,yantralay Windshield Car Suction Cup Mount for Hero 10 9 8  SJCAM  Osmo Action 3   4  Insta 360   Flexible  Multi Angle Adjustable   Mount for Smartph,1,-610.13,Refund,delhi,Refund,-610.13,0.0,0,False,
2025-08-04,PNQ2-399,ACCASEYTG9,B08NF6HMG6,yantralay YT G9 Vlogging Case with Dual Cold Shoe Mount for Hero 12 11 10 9  Removable 52mm Filter Ring  All in One Kit with Case Door  Lens Protector,1,1012.68,Shipment,DALHOUSIE,Shipment,1012.68,0.0,1,False,
2025-08-05,PNQ2-402,MP_OA5,B0F9X1YNVL,yantralay Camera Lavalier Clip on Type C Microphone for DJ I Action 3 4 Collar Clip Microphone  Without Need of Mic Adapter  1 5M Cable Length   Black,1,1454.03,Shipment,Patna,Shipment,1454.03,0.0,1,False,
2025-08-04,PNQ2-401,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,920.53,Shipment,Haridwar,Shipment,920.53,0.0,1,False,
2025-08-07,PNQ2-405,PS2_YELLOW,B0BL1HQ3C4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,484.03,Shipment,NEW DELHI,Shipment,484.03,0.0,1,False,
2025-08-07,PNQ2-408,PS2_BLUE,B0BL1H24P4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,484.03,Shipment,NEW DELHI,Shipment,484.03,0.0,1,False,
2025-08-06,PNQ2-403,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,920.53,Shipment,DHUBRI,Shipment,920.53,0.0,1,False,
2025-08-06,PNQ2-404,MP_OA5,B0F9X1YNVL,yantralay Camera Lavalier Clip on Type C Microphone for DJ I Action 3 4 Collar Clip Microphone  Without Need of Mic Adapter  1 5M Cable Length   Black,1,1454.03,Shipment,Guwahati,Shipment,1454.03,0.0,1,False,
2025-08-08,PNQ2-409,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,920.53,Shipment,BHARATPUR,Shipment,920.53,0.0,1,False,
