Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-07-01,PNQ2-214,ACCASEYTG9,B08NF6HMG6,yantralay YT G9 Vlogging Case with Dual Cold Shoe Mount for Hero 12 11 10 9  Removable 52mm Filter Ring  All in One Kit with Case Door  Lens Protector,1,1044.0,Shipment,SIRSA,Shipment,1044.0,0.0,1,False,
2025-07-01,PNQ2-215,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,2699.0,Shipment,SRINAGAR,Shipment,2699.0,0.0,1,False,
2025-07-02,PNQ2-218,GP47_NEW,B0DRYJZ6VH,Yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 For Os,1,1349.0,Shipment,Gurugram,Shipment,1349.0,0.0,1,False,
2025-07-01,PNQ2-217,GP47_NEW,B0DRYJZ6VH,Yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 For Os,2,2698.0,Shipment,DEHRADUN,Shipment,2698.0,0.0,2,False,
2025-07-02,PNQ2-219,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,905.0,Shipment,MEERUT,Shipment,905.0,0.0,1,False,
2025-07-02,PNQ2-220,IN_MICMOUNT_X4,B0DZJQ8F1R,yantralay External Microphone Aluminium Mount Compatible with Insta 360 X4 X3 X2  Insta 360 Camera Accessories,1,1471.0,Shipment,Kanpur,Shipment,1471.0,0.0,1,False,
2025-07-01,PNQ2-214,ACCASEYTG9,B08NF6HMG6,yantralay YT G9 Vlogging Case with Dual Cold Shoe Mount for Hero 12 11 10 9  Removable 52mm Filter Ring  All in One Kit with Case Door  Lens Protector,1,-1044.0,Refund,SIRSA,Refund,-1044.0,0.0,0,False,
2025-07-02,PNQ2-222,GP47_NEW,B0DRYJZ6VH,Yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 For Os,1,1349.0,Shipment,Prayagraj,Shipment,1349.0,0.0,1,False,
2025-07-02,PNQ2-224,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,905.0,Shipment,NOIDA,Shipment,905.0,0.0,1,False,
2025-07-02,PNQ2-221,MS_GP34,B0DG2LBC8V,yantralay Magnetic Neck Mount   2 in 1 Flexible Holder for Phones and Action Cameras   Adjustable Neck Strap  Secure Magnetic Magsaf Mounts  for Gopro,1,1999.0,Shipment,ANJANGAON SURJI,Shipment,1999.0,0.0,1,False,
