Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-08-31,PNQ2-486,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,-877.85,Refund,NEW DELHI,Refund,-877.85,0.0,0,False,
2025-08-27,PNQ2-474,ACCASEYTG9,B08NF6HMG6,yantralay YT G9 Vlogging Case with Dual Cold Shoe Mount for Hero 12 11 10 9  Removable 52mm Filter Ring  All in One Kit with Case Door  Lens Protector,1,-936.05,Refund,KHUNTI,Refund,-936.05,0.0,0,False,
2025-08-07,PNQ2-405,PS2_YELLOW,B0BL1HQ3C4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,-484.03,Refund,NEW DELHI,Refund,-484.03,0.0,0,False,
2025-08-26,PNQ2-472,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,-873.97,Refund,ALLAHABAD,Refund,-873.97,0.0,0,False,
2025-09-01,PNQ2-489,ACCHARGERGP5_3,B08LYVPLR9,Yantralay 3 Channel AHDBT 501 Battery Charger for Hero 5 6 7   8 Black Action Camera   USB Cable Included   Fast Charging Dock,1,823.0,Shipment,BARASAT,Shipment,823.0,0.0,1,False,
2025-09-01,PNQ2-490,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,901.0,Shipment,Dehradun,Shipment,901.0,0.0,1,False,
2025-09-01,PNQ2-491,ACCASEYTG9,B08NF6HMG6,yantralay YT G9 Vlogging Case with Dual Cold Shoe Mount for Hero 12 11 10 9  Removable 52mm Filter Ring  All in One Kit with Case Door  Lens Protector,1,965.0,Shipment,GREATER NOIDA,Shipment,965.0,0.0,1,False,
2025-09-02,PNQ2-492,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,901.0,Shipment,JABALPUR,Shipment,901.0,0.0,1,False,
2025-09-02,PNQ2-494,ACCHARGERGP5_3,B08LYVPLR9,Yantralay 3 Channel AHDBT 501 Battery Charger for Hero 5 6 7   8 Black Action Camera   USB Cable Included   Fast Charging Dock,1,823.0,Shipment,HYDERABAD,Shipment,823.0,0.0,1,False,
2025-09-02,PNQ2-495,TY98_TUYU,B0F7RP62NV,yantralay Motorcycle Windshield Mounting Clamp Aluminum Mount for Insta 360 X5 X4 X3  Go Pro Hero 13 12 11 10 9  D J I Action 5 Pro  4 3 Action Camera,1,1851.0,Shipment,kanpur,Shipment,1851.0,0.0,1,False,
2025-09-02,PNQ2-493,ACCASEYTG9,B08NF6HMG6,yantralay YT G9 Vlogging Case with Dual Cold Shoe Mount for Hero 12 11 10 9  Removable 52mm Filter Ring  All in One Kit with Case Door  Lens Protector,1,965.0,Shipment,CHENNAI,Shipment,965.0,0.0,1,False,
2025-09-04,PNQ2-496,PS2_RED,B0BL1HF4NJ,yantralay Nylon Controller Gamepad Carry Case   Ultimate Protection Compatible For PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protectio,1,484.03,Shipment,NEW DELHI,Shipment,484.03,0.0,1,False,
2025-09-04,PNQ2-497,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,873.97,Shipment,Banka,Shipment,873.97,0.0,1,False,
2025-09-06,PNQ2-498,GP162TELESINN,B07G5XWJJM,TELESIN Motorcycle Helmet Strap Mount Front Chin Mount for GoPro Hero 2018 7 6 5 4 3  Session  SJCAM  AKASO  Campark  Polaroid  YI Action Camera Helme,1,869.18,Shipment,GURUGRAM,Shipment,869.18,0.0,1,False,
